No.,Series,Votes,Author,Rank Change,2021 Rank
535,The Book of a Thousand Days,1,Shannon Hale,,
535,Keeper of the Lost Cities,1,Shannon Messenger,,
535,Elemental Blessings,1,Sharon Shinn,,
535,Gael Song,1,Shauna Lawless,,
535,Pride,1,Shelly Laurenston,,
535,The True Game,1,Sheri S. Tepper,,
535,Crown & Court,1,Sherwood Smith,,
535,The Beautiful Ones,1,Silvia Moreno-Garcia,,
535,Regency Dragons,1,Stephanie Burgis,,
535,Tales from the Chocolate Heart,1,Stephanie Burgis,,
535,The Age of Darkness Trilogy,1,Stephen Aryan,,
535,Mythos,1,Stephen Fry,,
535,The Lake Witch Trilogy,1,Stephen Graham Jones,,
535,Misery,1,Stephen King,,
535,Needful Things,1,Stephen King,,
535,Pet Sematary,1,Stephen King,,
535,The Mist,1,Stephen King,,
535,Under the Dome,1,Stephen King,,
535,The Talisman,1,Stephen King and Peter Straub,,
535,Mordant's Need,1,Stephen R. Donaldson,,
535,Song of Albion Trilogy,1,Stephen R. Lawhead,,
535,Jumper,1,Steven Gould,,
535,Aria of Steel,1,Steven Raaymakers,,
535,Semiosis,1,Sue Burke,,
535,Tokyo Ghoul,1,Sui Ishida,,
535,The Book Eaters,1,Sunyi Dean,,
535,The Witchlands,1,Susan Dennard,,
535,Take Them to the Stars,1,Sylvain Neuvel,,
535,Themis Files,1,Sylvain Neuvel,,
535,The Extraordinaries,1,T.J. Klune,,
535,The House in the Cerulean Sea,1,T.J. Klune,,
535,Under the Whispering door,1,T.J. Klune,,
535,Furthermore,1,Tahereh Mafi,,
535,Lady Knight,1,Tamora Pierce,,
535,Princess Floralinda and the Forty-Flight Tower,1,Tamsyn Muir,,
535,Smoke Trilogy,1,Tanya Huff,,
535,Artillerymen,1,Taylor Anderson,,
535,Stories of Your Life and Others,1,Ted Chiang,,
535,Spellmonger,1,Terry Mancour,,
535,Discword,1,Terry Pratchett,,
535,Good Omens,1,Terry Pratchett and Neil Gaiman,,
535,The Ashes of Avarin,1,Thiago Abdalla,,
535,Hannibal Lecter,1,Thomas Harris,,
535,Songs of a Dead Dreamer,1,Thomas Ligotti,,
535,Teatro Grottesco,1,Thomas Ligotti,,
535,The Brotherhood of the Eagle,1,Tim Hardie,,
535,On Stranger Tides,1,Tim Powers,,
535,The Drawing of the Dark,1,Tim Powers,,
535,Twilight Reign,1,Tom Lloyd,,
535,Kill 6 Billion Demons,1,Tom Parkinson-Morgan,,
535,The Leftovers,1,Tom Perrotta,,
535,Verhalen van de tweelingbroers,1,Tonke Dragt,,
535,Pontypool Changes Everything,1,Tony Burgess,,
535,Before the Coffee Gets Cold,1,Toshikazu Kawaguchi,,
535,Awaken Online,1,Travis Bagwell,,
535,Millennium's Rule,1,Trudi Canavan,,
535,Cruel Gods,1,Trudie Skies,,
535,The Magic Fish,1,Trung Le Nguyen,,
535,BLAME!,1,Tsutomu Nihei,,
535,The Imaginary Corpse,1,Tyler Hayes,,
535,Always Coming Home,1,Ursula K. Le Guin,,
535,The Beginning Place,1,Ursula K. Le Guin,,
535,The Wind's Twelve Quarters,1,Ursula K. Le Guin,,
535,Digger,1,Ursula Vernon,,
535,Gallant,1,V.E. Schwab,,
535,Chilling Effect,1,Valerie Valdes,,
535,Doctor Who,1,Various,,
535,Warhammer,1,Various,,
535,One Thousand and One Nights,1,Various Authors,,
535,Dark Gifts,1,Vic James,,
535,Greenwing & Dart,1,Victoria Goddard,,
535,Transmetropolitan,1,Warren Ellis,,
535,Warlock of the Magus World,1,Wen Chao Gong,,
535,Traveler's Gate,1,Will Wight,,
535,Bridge,1,William Gibson,,
535,Jackpot,1,William Gibson,,
535,The House of the Wolfings,1,William Morris,,
535,Journey to the West,1,Wu Cheng'en,,
535,Strange Beasts of China,1,Yan Ge,,
535,Blood Blockade Battlefront,1,Yasuhiro Nightow,,
535,The Memory Police,1,Yoko Ogawa,,
535,Destiny Cycle,1,Yrsillar,,
535,Lionboy,1,Zizou Corder,,
535,Mischief Acts,1,Zoe Gilbert,,
535,Primal Hunter,1,Zogarth,,
535,The Inheritance of Orquidea Divina,1,Zoraida Cordova,,
